TXN_ID,ACCOUNT_ID,ACCOUNT_NUMBER,TIMESTAMP,AMOUNT_INR,COUNTERPARTY_ID,COUNTERPARTY_ACCOUNT,CASE_ID,EVIDENCE_ID,CLASSIFICATION
TXN-0030,ACC-001,33901122,2025-08-22T14:24:30Z,41915.10,ACC-003,77650034,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0031,ACC-001,33901122,2025-08-22T14:25:40Z,29403.49,ACC-002,44120987,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0032,ACC-001,33901122,2025-08-22T14:26:50Z,35001.16,ACC-002,44120987,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0033,ACC-001,33901122,2025-08-22T14:28:00Z,6016.27,ACC-003,77650034,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0034,ACC-001,33901122,2025-08-22T14:29:10Z,14027.52,ACC-002,44120987,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0035,ACC-001,33901122,2025-08-22T14:30:20Z,16733.07,ACC-002,44120987,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0036,ACC-001,33901122,2025-08-22T14:31:30Z,7510.85,ACC-003,77650034,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0037,ACC-001,33901122,2025-08-22T14:32:40Z,14242.80,ACC-002,44120987,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0038,ACC-001,33901122,2025-08-22T14:33:50Z,8444.06,ACC-002,44120987,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0039,ACC-001,33901122,2025-08-22T14:35:00Z,16230.84,ACC-003,77650034,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0040,ACC-001,33901122,2025-08-22T14:36:10Z,31970.12,ACC-002,44120987,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0041,ACC-001,33901122,2025-08-22T14:37:20Z,20052.62,ACC-002,44120987,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0042,ACC-001,33901122,2025-08-22T14:38:30Z,20287.96,ACC-003,77650034,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0043,ACC-001,33901122,2025-08-22T14:39:40Z,13218.31,ACC-002,44120987,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0044,ACC-001,33901122,2025-08-22T14:40:50Z,15747.02,ACC-002,44120987,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0045,ACC-001,33901122,2025-08-22T14:42:00Z,45212.80,ACC-003,77650034,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0046,ACC-001,33901122,2025-08-22T14:43:10Z,32513.56,ACC-002,44120987,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0047,ACC-001,33901122,2025-08-22T14:44:20Z,30801.76,ACC-002,44120987,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0048,ACC-001,33901122,2025-08-22T14:45:30Z,11530.10,ACC-003,77650034,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0049,ACC-001,33901122,2025-08-22T14:46:40Z,36081.58,ACC-002,44120987,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0050,ACC-001,33901122,2025-08-22T14:47:50Z,11189.71,ACC-002,44120987,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0051,ACC-001,33901122,2025-08-22T14:49:00Z,20696.04,ACC-003,77650034,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0052,ACC-001,33901122,2025-08-22T14:50:10Z,47539.03,ACC-002,44120987,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0053,ACC-001,33901122,2025-08-22T14:51:20Z,32159.99,ACC-002,44120987,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0054,ACC-001,33901122,2025-08-22T14:52:30Z,28505.79,ACC-003,77650034,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0055,ACC-001,33901122,2025-08-22T14:53:40Z,34123.03,ACC-002,44120987,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0056,ACC-001,33901122,2025-08-22T14:54:50Z,41085.48,ACC-002,44120987,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0057,ACC-001,33901122,2025-08-22T14:56:00Z,38144.00,ACC-003,77650034,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0058,ACC-001,33901122,2025-08-22T14:57:10Z,14078.12,ACC-002,44120987,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0059,ACC-002,44120987,2025-08-20T11:00:00Z,2321.00,ACC-001,33901122,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0060,ACC-002,44120987,2025-08-21T11:00:00Z,5154.53,ACC-001,33901122,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0061,ACC-002,44120987,2025-08-22T11:00:00Z,4677.41,ACC-001,33901122,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0062,ACC-002,44120987,2025-08-23T11:00:00Z,4109.83,ACC-001,33901122,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
TXN-0063,ACC-002,44120987,2025-08-24T11:00:00Z,11429.10,ACC-001,33901122,CASE-305,EV-3070,SYNTHETIC DEMONSTRATION DATA
