RELATIONSHIP_ID,SOURCE_ENTITY,SOURCE_LABEL,RELATIONSHIP_TYPE,TARGET_ENTITY,TARGET_LABEL,TIMESTAMP,EVIDENCE_ID,CASE_ID,SUPPORT_LEVEL,VERIFICATION_STATUS,CLASSIFICATION
REL-011,PER-004,Arun Selvam,OBSERVED_AT,LOC-001,Chennai Central,2025-08-18T10:12:00Z,EV-2041,CASE-202,MEDIUM,UNVERIFIED,SYNTHETIC DEMONSTRATION DATA
REL-012,PER-005,Meena Raghavan,OBSERVED_AT,LOC-001,Chennai Central,2025-08-18T10:18:00Z,EV-2041,CASE-202,MEDIUM,UNVERIFIED,SYNTHETIC DEMONSTRATION DATA
REL-013,PER-009,Vignesh Anand,USED,VEH-003,TN09KL8899,2025-08-19T14:00:00Z,EV-2043,CASE-202,LOW,UNVERIFIED,SYNTHETIC DEMONSTRATION DATA
REL-014,PER-013,Farhan Ali,CONNECTED_TO,PHN-002,+919840099887,2025-08-18T11:00:00Z,EV-2043,CASE-202,LOW,UNVERIFIED,SYNTHETIC DEMONSTRATION DATA
REL-015,PER-006,Suresh Balan,USED,ACC-001,A/C 33901122,2025-08-22T14:00:00Z,EV-3070,CASE-305,HIGH,UNVERIFIED,SYNTHETIC DEMONSTRATION DATA
REL-016,ACC-001,A/C 33901122,TRANSACTED_WITH,ACC-002,A/C 44120987,2025-08-22T14:20:00Z,EV-3070,CASE-305,MEDIUM,UNVERIFIED,SYNTHETIC DEMONSTRATION DATA
REL-017,PER-008,Divya Nair,USED,ACC-002,A/C 44120987,2025-08-24T10:00:00Z,EV-3070,CASE-305,MEDIUM,UNVERIFIED,SYNTHETIC DEMONSTRATION DATA
REL-018,PER-003,Ravi K.,USED,VEH-001,TN01AB1234,2025-08-25T15:10:00Z,EV-3071,CASE-305,MEDIUM,UNVERIFIED,SYNTHETIC DEMONSTRATION DATA
REL-019,PER-003,Ravi K.,OBSERVED_AT,LOC-005,Chennai Port,2025-08-25T15:10:00Z,EV-3071,CASE-305,MEDIUM,UNVERIFIED,SYNTHETIC DEMONSTRATION DATA
REL-020,PER-004,Arun Selvam,OBSERVED_AT,LOC-005,Chennai Port,2025-08-25T15:20:00Z,EV-3071,CASE-305,MEDIUM,UNVERIFIED,SYNTHETIC DEMONSTRATION DATA
REL-021,ORG-002,Coastal Logistics Pvt Ltd,LOCATED_AT,LOC-005,Chennai Port,2025-08-25T00:00:00Z,EV-3071,CASE-305,LOW,UNVERIFIED,SYNTHETIC DEMONSTRATION DATA
REL-022,PER-010,Prakash Menon,USED,VEH-004,TN22CD3311,2025-08-26T09:30:00Z,EV-4090,CASE-407,MEDIUM,UNVERIFIED,SYNTHETIC DEMONSTRATION DATA
REL-023,PER-011,Anitha Rao,PART_OF,ORG-002,Coastal Logistics Pvt Ltd,2025-08-26T09:30:00Z,EV-4090,CASE-407,LOW,UNVERIFIED,SYNTHETIC DEMONSTRATION DATA
REL-024,PER-015,Sanjay Prabhu,MENTIONED_IN,VEH-004,TN22CD3311,2025-08-27T10:00:00Z,EV-4090,CASE-407,LOW,UNVERIFIED,SYNTHETIC DEMONSTRATION DATA
REL-025,PER-014,Lakshmi Iyer,ASSOCIATED_WITH,ACC-002,A/C 44120987,2025-08-22T14:35:00Z,EV-3070,CASE-305,LOW,UNVERIFIED,SYNTHETIC DEMONSTRATION DATA
REL-026,PER-001,Ravi Kumar,ASSOCIATED_WITH,ORG-001,Metro Auto Spares,2025-08-12T00:00:00Z,EV-1026,CASE-101,LOW,UNVERIFIED,SYNTHETIC DEMONSTRATION DATA
REL-027,PER-004,Arun Selvam,USED,VEH-001,TN01AB1234,2025-08-18T10:12:00Z,EV-2041,CASE-202,MEDIUM,UNVERIFIED,SYNTHETIC DEMONSTRATION DATA
REL-028,DEV-001,IMEI 356938035643809,ASSOCIATED_WITH,PER-002,R. Kumar,2025-08-18T10:05:00Z,EV-2042,CASE-202,LOW,UNVERIFIED,SYNTHETIC DEMONSTRATION DATA
