SR_NO,TXN_ID,VALUE_DATE,POSTING_DATE,POSTING_TIME,NARRATION,REF_NO,CHANNEL,DEBIT_INR,CREDIT_INR,BALANCE_INR,COUNTERPARTY_ACCOUNT,COUNTERPARTY_NAME,COUNTERPARTY_IFSC,LINKED_EVIDENCE,CLASSIFICATION
30,TXN-0030,22/08/2025,22/08/2025,14:24:30,NEFT/DR/NEFT250822303226/COASTALLOGISTICSPVTLTD/BCBK0007765,NEFT250822303226,NEFT,41915.10,,-499867.67,77650034,Coastal Logistics Pvt Ltd,BCBK0007765,EV-3070,SYNTHETIC DEMONSTRATION DATA
31,TXN-0031,22/08/2025,22/08/2025,14:25:40,NEFT/DR/NEFT250822772017/DIVYANAIR/BCBK0004412,NEFT250822772017,NEFT,29403.49,,-529271.16,44120987,Divya Nair,BCBK0004412,EV-3070,SYNTHETIC DEMONSTRATION DATA
32,TXN-0032,22/08/2025,22/08/2025,14:26:50,IMPS/DR/IMPS250822605512/DIVYANAIR/BCBK0004412,IMPS250822605512,IMPS,35001.16,,-564272.32,44120987,Divya Nair,BCBK0004412,EV-3070,SYNTHETIC DEMONSTRATION DATA
33,TXN-0033,22/08/2025,22/08/2025,14:28:00,UPI/DR/UPI250822376191/COASTALLOGISTICSPVTLTD/BCBK0007765,UPI250822376191,UPI,6016.27,,-570288.59,77650034,Coastal Logistics Pvt Ltd,BCBK0007765,EV-3070,SYNTHETIC DEMONSTRATION DATA
34,TXN-0034,22/08/2025,22/08/2025,14:29:10,NEFT/DR/NEFT250822407624/DIVYANAIR/BCBK0004412,NEFT250822407624,NEFT,14027.52,,-584316.11,44120987,Divya Nair,BCBK0004412,EV-3070,SYNTHETIC DEMONSTRATION DATA
35,TXN-0035,22/08/2025,22/08/2025,14:30:20,NEFT/DR/NEFT250822699678/DIVYANAIR/BCBK0004412,NEFT250822699678,NEFT,16733.07,,-601049.18,44120987,Divya Nair,BCBK0004412,EV-3070,SYNTHETIC DEMONSTRATION DATA
36,TXN-0036,22/08/2025,22/08/2025,14:31:30,UPI/DR/UPI250822605229/COASTALLOGISTICSPVTLTD/BCBK0007765,UPI250822605229,UPI,7510.85,,-608560.03,77650034,Coastal Logistics Pvt Ltd,BCBK0007765,EV-3070,SYNTHETIC DEMONSTRATION DATA
37,TXN-0037,22/08/2025,22/08/2025,14:32:40,NEFT/DR/NEFT250822323510/DIVYANAIR/BCBK0004412,NEFT250822323510,NEFT,14242.80,,-622802.83,44120987,Divya Nair,BCBK0004412,EV-3070,SYNTHETIC DEMONSTRATION DATA
38,TXN-0038,22/08/2025,22/08/2025,14:33:50,UPI/DR/UPI250822928215/DIVYANAIR/BCBK0004412,UPI250822928215,UPI,8444.06,,-631246.89,44120987,Divya Nair,BCBK0004412,EV-3070,SYNTHETIC DEMONSTRATION DATA
39,TXN-0039,22/08/2025,22/08/2025,14:35:00,NEFT/DR/NEFT250822284861/COASTALLOGISTICSPVTLTD/BCBK0007765,NEFT250822284861,NEFT,16230.84,,-647477.73,77650034,Coastal Logistics Pvt Ltd,BCBK0007765,EV-3070,SYNTHETIC DEMONSTRATION DATA
40,TXN-0040,22/08/2025,22/08/2025,14:36:10,NEFT/DR/NEFT250822198066/DIVYANAIR/BCBK0004412,NEFT250822198066,NEFT,31970.12,,-679447.85,44120987,Divya Nair,BCBK0004412,EV-3070,SYNTHETIC DEMONSTRATION DATA
41,TXN-0041,22/08/2025,22/08/2025,14:37:20,IMPS/DR/IMPS250822302156/DIVYANAIR/BCBK0004412,IMPS250822302156,IMPS,20052.62,,-699500.47,44120987,Divya Nair,BCBK0004412,EV-3070,SYNTHETIC DEMONSTRATION DATA
42,TXN-0042,22/08/2025,22/08/2025,14:38:30,UPI/DR/UPI250822932454/COASTALLOGISTICSPVTLTD/BCBK0007765,UPI250822932454,UPI,20287.96,,-719788.43,77650034,Coastal Logistics Pvt Ltd,BCBK0007765,EV-3070,SYNTHETIC DEMONSTRATION DATA
43,TXN-0043,22/08/2025,22/08/2025,14:39:40,NEFT/DR/NEFT250822829145/DIVYANAIR/BCBK0004412,NEFT250822829145,NEFT,13218.31,,-733006.74,44120987,Divya Nair,BCBK0004412,EV-3070,SYNTHETIC DEMONSTRATION DATA
44,TXN-0044,22/08/2025,22/08/2025,14:40:50,UPI/DR/UPI250822802098/DIVYANAIR/BCBK0004412,UPI250822802098,UPI,15747.02,,-748753.76,44120987,Divya Nair,BCBK0004412,EV-3070,SYNTHETIC DEMONSTRATION DATA
45,TXN-0045,22/08/2025,22/08/2025,14:42:00,UPI/DR/UPI250822398650/COASTALLOGISTICSPVTLTD/BCBK0007765,UPI250822398650,UPI,45212.80,,-793966.56,77650034,Coastal Logistics Pvt Ltd,BCBK0007765,EV-3070,SYNTHETIC DEMONSTRATION DATA
46,TXN-0046,22/08/2025,22/08/2025,14:43:10,NEFT/DR/NEFT250822780871/DIVYANAIR/BCBK0004412,NEFT250822780871,NEFT,32513.56,,-826480.12,44120987,Divya Nair,BCBK0004412,EV-3070,SYNTHETIC DEMONSTRATION DATA
47,TXN-0047,22/08/2025,22/08/2025,14:44:20,IMPS/DR/IMPS250822219532/DIVYANAIR/BCBK0004412,IMPS250822219532,IMPS,30801.76,,-857281.88,44120987,Divya Nair,BCBK0004412,EV-3070,SYNTHETIC DEMONSTRATION DATA
48,TXN-0048,22/08/2025,22/08/2025,14:45:30,UPI/DR/UPI250822312442/COASTALLOGISTICSPVTLTD/BCBK0007765,UPI250822312442,UPI,11530.10,,-868811.98,77650034,Coastal Logistics Pvt Ltd,BCBK0007765,EV-3070,SYNTHETIC DEMONSTRATION DATA
49,TXN-0049,22/08/2025,22/08/2025,14:46:40,NEFT/DR/NEFT250822566277/DIVYANAIR/BCBK0004412,NEFT250822566277,NEFT,36081.58,,-904893.56,44120987,Divya Nair,BCBK0004412,EV-3070,SYNTHETIC DEMONSTRATION DATA
50,TXN-0050,22/08/2025,22/08/2025,14:47:50,UPI/DR/UPI250822927236/DIVYANAIR/BCBK0004412,UPI250822927236,UPI,11189.71,,-916083.27,44120987,Divya Nair,BCBK0004412,EV-3070,SYNTHETIC DEMONSTRATION DATA
51,TXN-0051,22/08/2025,22/08/2025,14:49:00,UPI/DR/UPI250822688963/COASTALLOGISTICSPVTLTD/BCBK0007765,UPI250822688963,UPI,20696.04,,-936779.31,77650034,Coastal Logistics Pvt Ltd,BCBK0007765,EV-3070,SYNTHETIC DEMONSTRATION DATA
52,TXN-0052,22/08/2025,22/08/2025,14:50:10,UPI/DR/UPI250822380695/DIVYANAIR/BCBK0004412,UPI250822380695,UPI,47539.03,,-984318.34,44120987,Divya Nair,BCBK0004412,EV-3070,SYNTHETIC DEMONSTRATION DATA
53,TXN-0053,22/08/2025,22/08/2025,14:51:20,UPI/DR/UPI250822768074/DIVYANAIR/BCBK0004412,UPI250822768074,UPI,32159.99,,-1016478.33,44120987,Divya Nair,BCBK0004412,EV-3070,SYNTHETIC DEMONSTRATION DATA
54,TXN-0054,22/08/2025,22/08/2025,14:52:30,UPI/DR/UPI250822303536/COASTALLOGISTICSPVTLTD/BCBK0007765,UPI250822303536,UPI,28505.79,,-1044984.12,77650034,Coastal Logistics Pvt Ltd,BCBK0007765,EV-3070,SYNTHETIC DEMONSTRATION DATA
55,TXN-0055,22/08/2025,22/08/2025,14:53:40,IMPS/DR/IMPS250822451496/DIVYANAIR/BCBK0004412,IMPS250822451496,IMPS,34123.03,,-1079107.15,44120987,Divya Nair,BCBK0004412,EV-3070,SYNTHETIC DEMONSTRATION DATA
56,TXN-0056,22/08/2025,22/08/2025,14:54:50,IMPS/DR/IMPS250822848116/DIVYANAIR/BCBK0004412,IMPS250822848116,IMPS,41085.48,,-1120192.63,44120987,Divya Nair,BCBK0004412,EV-3070,SYNTHETIC DEMONSTRATION DATA
57,TXN-0057,22/08/2025,22/08/2025,14:56:00,IMPS/DR/IMPS250822598793/COASTALLOGISTICSPVTLTD/BCBK0007765,IMPS250822598793,IMPS,38144.00,,-1158336.63,77650034,Coastal Logistics Pvt Ltd,BCBK0007765,EV-3070,SYNTHETIC DEMONSTRATION DATA
58,TXN-0058,22/08/2025,22/08/2025,14:57:10,UPI/DR/UPI250822622345/DIVYANAIR/BCBK0004412,UPI250822622345,UPI,14078.12,,-1172414.75,44120987,Divya Nair,BCBK0004412,EV-3070,SYNTHETIC DEMONSTRATION DATA
